node;user;party
3331295703;ps18GC;#Hamon2017
8,50031E+17;IsaSurTwit;#JLM2017
7,96394E+17;InteretGnral;#JLM2017
8,50314E+17;caf_mel;#JLM2017
2578799460;BenjaminMouret;#JLM2017
7,22376E+17;Emilie_Alonso_;#Hamon2017
459081770;cpapabongo;#JLM2017
2186556947;Larrytheblueb;#Marine2017
28666886;bembelly;Not partisan
2906777003;DoleVeronique;#Fillon2017
8,10657E+17;DufortAlbert;#JLM2017
127260644;coolise;Not partisan
284050361;chrislaine33;Not partisan
306146989;LeaDuffy;#Hamon2017
410785096;FabienneBlineau;Not partisan
44868614;ShiningStarSJFE;#Hamon2017
3995487412;EulenSsspiegel;#JLM2017
499699049;Chani_Bayle;#JLM2017
4009979181;krunch_fr;Not partisan
89442593;troisgalets;Not partisan
604841019;HugoTouzet;#JLM2017
1438029709;ParrainJoe;Not partisan
210507149;CanalOblik;#JLM2017
223592345;0limbera;#JLM2017
494854189;ch_coulon;Not partisan
8,41025E+17;EMInclusion;#Macron2017
2976187055;Ecogine2;#JLM2017
392768819;MichelFuselier;Not partisan
957864500;ta_malou;Not partisan
1954318740;CecileRegradj;#Hamon2017
592568255;Rrr_helene;#JLM2017
8,40713E+17;EnMarcheAveyron;#Macron2017
199608348;JeMeMarreBien;#JLM2017
2442204971;LaureTachoires;#JLM2017
443931031;BrigitPROSPERI;Not partisan
8,29411E+17;Kikounette1969;#NDA2017
244170872;blabalade;#JLM2017
7,98946E+17;Pouetenbois;#Hamon2017
50797195;Geekin20;Not partisan
8,16771E+17;Guilhempere21;#JLM2017
7,22766E+17;enmarche35;#Macron2017
4823643531;ps_fede64;#Hamon2017
7,76504E+17;insoumisCbv;#JLM2017
7,38667E+17;CoDubost;#Macron2017
583190392;LaMutine;Not partisan
450519822;JocelyneOuang;#JLM2017
515873910;franceC3;Not partisan
255041595;sophierauszer;#JLM2017
1092822246;GhislaineSalmat;#Hamon2017
7,35568E+17;taek_xav;#JLM2017
7,73877E+17;Thompson_2017;Not partisan
2777978599;ManLoiret;#Hamon2017
1458716720;bchaudcarr;#Macron2017
51023099;Fredub_;#JLM2017
1283018743;MbalaDieudo;Not partisan
3918435154;iborrasophie1;Not partisan
8,17732E+17;Causettevaljean;#JLM2017
2809027499;plafalb;#Fillon2017
140016095;PS_Paris12;#Hamon2017
560425542;nicoleodera;Not partisan
